trade_id,symbol,entry_fill_price,exit_fill_price,slippage_entry,slippage_exit
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000001,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000002,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000003,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000004,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000005,SPY_5m,,,0,0
T000006,SPY_5m,,,0,0
T000006,SPY_5m,,,0,0
T000006,SPY_5m,,,0,0
