timestamp,open,high,low,close,volume
2024-03-26 13:30:00+00:00,521.23,521.44,520.88,521.36,888901
2024-03-26 13:35:00+00:00,521.35,521.43,520.97,521.09,551002
2024-03-26 13:40:00+00:00,521.09,521.2084,520.83,521.155,1697396
2024-03-26 13:45:00+00:00,521.165,521.28,521.066,521.19,411448
2024-03-26 13:50:00+00:00,521.19,521.25,520.89,520.955,350636
2024-03-26 13:55:00+00:00,520.95,521.27,520.92,521.25,446260
2024-03-26 14:00:00+00:00,521.25,521.38,521.18,521.33,504743
2024-03-26 14:05:00+00:00,521.32,521.495,521.26,521.3,436413
2024-03-26 14:10:00+00:00,521.29,521.38,520.93,521.33,547068
2024-03-26 14:15:00+00:00,521.34,521.58,521.23,521.425,498596
2024-03-26 14:20:00+00:00,521.43,521.4799,521.27,521.43,359335
2024-03-26 14:25:00+00:00,521.4397,521.4401,520.965,521.07,533292
2024-03-26 14:30:00+00:00,521.07,521.08,520.65,520.99,778786
2024-03-26 14:35:00+00:00,520.99,521.1501,520.805,521.105,434184
2024-03-26 14:40:00+00:00,521.105,521.2,520.915,521.1,481325
2024-03-26 14:45:00+00:00,521.12,521.1666,520.85,520.955,395406
2024-03-26 14:50:00+00:00,520.96,521.18,520.96,521.17,266116
2024-03-26 14:55:00+00:00,521.175,521.37,521.1382,521.3,355216
2024-03-26 15:00:00+00:00,521.29,521.39,521.15,521.2,344379
2024-03-26 15:05:00+00:00,521.2097,521.29,521.17,521.26,217929
2024-03-26 15:10:00+00:00,521.27,521.33,521.15,521.215,218442
2024-03-26 15:15:00+00:00,521.21,521.31,521.15,521.21,189202
2024-03-26 15:20:00+00:00,521.21,521.39,521.11,521.28,275278
2024-03-26 15:25:00+00:00,521.29,521.39,521.25,521.28,303380
2024-03-26 15:30:00+00:00,521.275,521.34,521.17,521.25,204364
2024-03-26 15:35:00+00:00,521.26,521.2863,521.08,521.185,276003
2024-03-26 15:40:00+00:00,521.18,521.25,521.0699,521.19,184793
2024-03-26 15:45:00+00:00,521.185,521.19,521.085,521.11,182125
2024-03-26 15:50:00+00:00,521.11,521.43,521.11,521.4,327410
2024-03-26 15:55:00+00:00,521.4,521.4599,521.31,521.3969,263700
2024-03-26 16:00:00+00:00,521.4,521.46,521.18,521.23,252244
2024-03-26 16:05:00+00:00,521.22,521.275,521.125,521.195,521614
2024-03-26 16:10:00+00:00,521.19,521.2563,521.11,521.18,556140
2024-03-26 16:15:00+00:00,521.18,521.2525,521.04,521.115,376021
2024-03-26 16:20:00+00:00,521.1,521.1,520.93,521.02,391072
2024-03-26 16:25:00+00:00,521.01,521.16,520.915,521.14,312200
2024-03-26 16:30:00+00:00,521.135,521.14,520.94,520.97,227529
2024-03-26 16:35:00+00:00,520.97,521.09,520.91,520.9899,185472
2024-03-26 16:40:00+00:00,520.9877,521.0199,520.8837,520.92,254614
2024-03-26 16:45:00+00:00,520.92,521.07,520.87,520.96,515099
