timestamp,open,high,low,close,volume
2023-01-01 09:30:00,95.15,95.25,94.72,95.0,11827
2023-01-01 09:31:00,96.14,96.46,96.04,96.2,9394
2023-01-01 09:32:00,97.33,97.42,96.95,97.16,10933
2023-01-01 09:33:00,98.55,98.73,98.45,98.54,10218
2023-01-01 09:34:00,99.67,99.77,99.42,99.53,10083
2023-01-01 09:35:00,97.27,97.56,97.17,97.35,9845
2023-01-01 09:36:00,99.43,99.64,99.25,99.5,8643
2023-01-01 09:37:00,101.88,101.98,101.41,101.69,8253
2023-01-01 09:38:00,103.77,103.88,103.37,103.57,8566
2023-01-01 09:39:00,101.36,101.53,100.95,101.23,8495
2023-01-01 09:40:00,100.06,100.16,99.85,99.96,11005
2023-01-01 09:41:00,97.54,97.88,97.44,97.59,11570
2023-01-01 09:42:00,94.8,95.01,94.58,94.79,10169
2023-01-01 09:43:00,92.93,93.1,92.67,92.91,11830
2023-01-01 09:44:00,92.13,92.22,91.77,92.02,10673
2023-01-01 09:45:00,92.33,92.42,92.08,92.17,8710
2023-01-01 09:46:00,91.49,91.58,91.14,91.32,22275
2023-01-01 09:47:00,92.67,92.88,92.58,92.61,9513
2023-01-01 09:48:00,93.74,93.96,93.52,93.78,11449
2023-01-01 09:49:00,94.88,94.98,94.59,94.87,8696
2023-01-01 09:50:00,97.88,97.98,97.48,97.73,9078
2023-01-01 09:51:00,98.75,99.06,98.65,98.87,11201
2023-01-01 09:52:00,98.6,98.81,98.24,98.53,10674
2023-01-01 09:53:00,97.29,97.6,97.09,97.31,11414
2023-01-01 09:54:00,96.77,97.07,96.67,96.86,9384
2023-01-01 09:55:00,96.79,97.17,96.69,96.89,10174
2023-01-01 09:56:00,97.94,98.11,97.77,98.04,8291
2023-01-01 09:57:00,98.77,98.87,98.39,98.63,10510
2023-01-01 09:58:00,98.1,98.53,98.0,98.27,9958
2023-01-01 09:59:00,100.91,101.01,100.66,100.74,8107
2023-01-01 10:00:00,99.72,99.82,99.4,99.55,11482
2023-01-01 10:01:00,99.96,100.06,99.53,99.77,8006
