timestamp,open,high,low,close,volume
2023-01-01 09:30:00,104.83,105.17,104.73,105.0,9283
2023-01-01 09:31:00,105.86,106.32,105.75,106.02,10073
2023-01-01 09:32:00,107.48,108.01,107.37,107.69,8176
2023-01-01 09:33:00,106.06,106.16,105.62,105.89,9163
2023-01-01 09:34:00,105.1,105.3,104.94,105.09,11811
2023-01-01 09:35:00,104.14,104.24,103.81,104.07,11585
2023-01-01 09:36:00,104.71,104.97,104.53,104.7,10164
2023-01-01 09:37:00,104.4,104.59,104.09,104.35,8751
2023-01-01 09:38:00,105.08,105.26,104.72,104.96,9315
2023-01-01 09:39:00,105.63,105.84,105.44,105.58,11314
2023-01-01 09:40:00,104.83,105.15,104.73,104.86,10337
2023-01-01 09:41:00,104.31,104.69,104.19,104.45,8947
2023-01-01 09:42:00,104.35,104.46,103.91,104.21,10769
2023-01-01 09:43:00,103.83,103.93,103.43,103.7,10389
2023-01-01 09:44:00,103.02,103.23,102.8,102.97,11395
2023-01-01 09:45:00,102.3,102.4,102.06,102.18,8167
2023-01-01 09:46:00,102.77,102.92,102.57,102.66,10371
2023-01-01 09:47:00,104.44,104.77,104.31,104.48,9644
2023-01-01 09:48:00,104.02,104.42,103.92,104.19,9500
2023-01-01 09:49:00,104.4,104.51,104.19,104.37,9864
2023-01-01 09:50:00,103.23,103.6,103.13,103.38,8253
2023-01-01 09:51:00,105.62,106.03,105.46,105.73,11130
2023-01-01 09:52:00,105.89,106.0,105.44,105.74,10632
2023-01-01 09:53:00,103.1,103.2,102.82,103.12,10709
2023-01-01 09:54:00,100.8,101.15,100.7,100.93,9524
2023-01-01 09:55:00,101.19,101.3,100.84,101.13,8280
2023-01-01 09:56:00,101.36,101.52,101.24,101.28,11049
2023-01-01 09:57:00,100.43,100.53,100.23,100.49,11395
2023-01-01 09:58:00,100.31,100.51,99.98,100.24,11749
2023-01-01 09:59:00,99.76,100.01,99.66,99.82,9927
2023-01-01 10:00:00,99.95,100.22,99.66,99.96,9140
2023-01-01 10:01:00,100.61,100.71,100.2,100.44,8458
2023-01-01 10:02:00,99.94,100.06,99.61,99.87,9408
2023-01-01 10:03:00,100.31,100.41,99.84,100.13,11047
2023-01-01 10:04:00,101.04,101.34,100.94,101.21,10141
2023-01-01 10:05:00,100.14,100.5,99.93,100.22,11546
2023-01-01 10:06:00,100.93,101.03,100.56,100.74,10538
2023-01-01 10:07:00,99.68,99.99,99.58,99.73,11587
2023-01-01 10:08:00,98.95,99.28,98.8,99.01,11086
2023-01-01 10:09:00,98.18,98.27,97.88,98.07,8756
2023-01-01 10:10:00,98.38,98.79,98.29,98.54,8158
2023-01-01 10:11:00,98.03,98.18,97.9,98.03,9286
2023-01-01 10:12:00,97.38,97.58,97.13,97.34,10214
2023-01-01 10:13:00,98.3,98.4,98.01,98.14,9699
2023-01-01 10:14:00,97.97,98.07,97.56,97.82,10861
2023-01-01 10:15:00,97.71,98.02,97.6,97.73,9967
2023-01-01 10:16:00,98.45,98.86,98.35,98.61,10152
2023-01-01 10:17:00,99.42,99.53,99.21,99.26,8743
2023-01-01 10:18:00,101.07,101.47,100.91,101.19,9784
2023-01-01 10:19:00,101.82,101.92,101.48,101.67,9870
2023-01-01 10:20:00,101.26,101.5,101.02,101.21,11025
2023-01-01 10:21:00,99.69,99.79,99.31,99.53,10419
2023-01-01 10:22:00,98.83,99.13,98.57,98.84,9832
2023-01-01 10:23:00,98.6,98.7,98.24,98.45,10745
2023-01-01 10:24:00,98.71,99.06,98.6,98.89,10652
2023-01-01 10:25:00,97.47,97.57,97.02,97.31,11721
2023-01-01 10:26:00,97.39,97.69,97.29,97.41,10933
2023-01-01 10:27:00,97.28,97.52,97.19,97.23,11029
2023-01-01 10:28:00,95.06,95.23,94.77,94.98,11784
2023-01-01 10:29:00,94.34,94.74,94.25,94.47,9405
2023-01-01 10:30:00,94.64,94.74,94.46,94.46,9770
2023-01-01 10:31:00,95.19,95.28,94.84,95.04,9781
2023-01-01 10:32:00,95.84,96.07,95.55,95.83,8525
2023-01-01 10:33:00,94.96,95.06,94.59,94.79,8702
2023-01-01 10:34:00,95.78,96.2,95.69,95.96,10924
